,overpoints,to_end_seconds
0,1226,33605
1,1309,33605
2,1739,33605
3,1859,33605
4,2247,33605
5,2160,33604
6,2118,33604
7,1637,33604
8,1726,33604
9,1883,33604
10,1803,33604
11,1320,33603
12,2519,33603
13,2585,33603
14,2893,33603
15,2934,33603
16,2692,33602
17,2669,33602
18,2072,33602
19,1929,33600
20,2057,33600
21,3004,33599
22,3079,33599
23,3693,33599
24,3732,33599
25,3421,33599
26,3395,33599
27,3180,33598
28,3205,33598
29,3216,33598
30,3179,33598
31,3350,33597
32,3348,33597
33,3720,33597
34,3729,33597
35,3613,33597
36,3602,33597
37,3112,33596
38,3027,33596
39,2278,33596
40,2206,33596
41,1686,33595
42,1663,33595
43,1502,33595
44,1479,33595
45,1560,33595
46,1564,33595
47,1661,33594
48,1688,33594
49,1607,33594
50,1633,33594
51,2003,33593
52,2025,33593
53,2530,33593
54,2575,33593
55,3150,33593
56,3236,33593
57,3918,33592
58,3952,33592
59,4010,33592
60,4001,33592
61,3712,33592
62,3592,33591
63,3076,33591
64,3031,33591
65,2616,33591
66,2586,33591
67,2574,33590
68,2594,33590
69,2699,33590
70,2695,33590
71,2725,33590
72,2734,33590
73,2814,33589
74,2769,33589
75,2830,33589
76,2841,33589
77,2917,33588
78,2919,33588
79,2794,33588
80,2818,33588
81,2470,33588
82,2399,33588
83,1262,33587
84,1143,33587
85,1490,33587
86,1439,33587
87,1022,33586
88,1064,33586
89,1072,33586
90,1018,33586
91,1008,33586
92,1065,33584
93,1132,33584
94,1228,33584
95,1267,33584
96,1048,33583
97,1208,33581
98,1244,33581
99,40543,32682
100,40544,32682
101,40544,32541
102,40542,32541
103,40543,32540
104,40544,32411
105,40543,32393
106,1366,32183
107,1414,32183
108,1530,32183
109,1457,32183
110,1049,32182
111,1040,32181
112,1046,32181
113,1265,32170
114,1261,32170
115,1227,32168
116,1709,32168
117,1640,32168
118,1685,32165
119,1748,32165
120,1853,32165
121,1840,32165
122,1924,32164
123,1967,32164
124,2641,32164
125,2656,32164
126,2084,32163
127,2012,32163
128,2343,32163
129,2377,32163
130,2184,32163
131,2156,32163
132,2029,32162
133,2072,32162
134,2409,32162
135,2446,32162
136,2283,32162
137,2639,32161
138,2639,32161
139,2561,32161
140,2512,32161
141,2067,32161
142,1971,32161
143,1680,32160
144,1663,32160
145,1690,32160
146,1655,32160
147,1479,32160
148,1487,32160
149,1393,32160
150,1507,32160
151,1805,32159
152,1859,32159
153,1869,32159
154,1809,32159
155,1702,32159
156,1675,32159
157,1636,32159
158,1608,32159
159,1902,32158
160,1997,32158
161,1961,32158
162,1948,32158
163,1707,32158
164,1727,32158
165,1769,32158
166,1858,32158
167,2329,32158
168,2371,32157
169,2235,32157
170,2213,32157
171,2627,32157
172,2638,32157
173,2317,32157
174,2320,32157
175,2385,32157
176,2461,32156
177,3035,32156
178,2888,32156
179,1484,32156
180,1397,32156
181,1609,32156
182,1091,32155
183,1782,32153
184,1967,32153
185,2273,32153
186,2133,32153
187,1599,32153
188,1517,32153
189,1125,32153
190,1102,32153
191,1489,32152
192,1460,32152
193,1230,30850
194,1220,30850
195,1574,30850
196,1724,30850
197,1099,30850
198,1373,30850
199,1145,30849
200,1199,30849
201,1041,30849
202,1037,30848
203,1002,30847
204,1312,30846
205,1324,30846
206,1388,30846
207,1321,30846
208,1038,30846
209,1089,30845
210,1276,30845
211,1136,30845
212,1267,30799
213,1168,30797
214,1266,30794
215,1100,30794
216,1415,30793
217,1639,30793
218,1784,30793
219,2044,30793
220,1913,30793
221,1200,30793
222,1005,30793
223,1857,30793
224,2156,30793
225,2075,30792
226,1913,30792
227,1575,30792
228,1357,30792
229,2008,30792
230,3434,30792
231,4627,30792
232,5714,30792
233,6167,30792
234,6342,30791
235,6455,30791
236,6492,30791
237,6311,30791
238,6357,30791
239,6860,30791
240,7290,30791
241,7634,30791
242,7733,30791
243,7904,30790
244,8062,30790
245,7543,30790
246,7305,30790
247,6920,30790
248,6356,30790
249,5509,30790
250,4829,30790
251,3894,30790
252,3645,30789
253,3811,30789
254,3984,30789
255,3721,30789
256,3446,30789
257,3230,30789
258,3558,30789
259,3541,30789
260,3504,30788
261,3735,30788
262,3487,30788
263,3325,30788
264,3171,30788
265,3280,30788
266,2821,30788
267,2380,30788
268,1570,30788
269,1158,30787
270,1294,30787
271,1685,30787
272,1901,30787
273,1883,30787
274,1823,30786
275,2366,30786
276,1786,30786
277,1613,30786
278,1399,30786
279,2064,30786
280,1151,30786
281,1006,30605
282,1577,30605
283,2523,30605
284,3564,30604
285,4250,30604
286,4513,30604
287,4661,30604
288,4584,30604
289,4753,30604
290,4609,30604
291,4337,30604
292,4371,30604
293,4404,30603
294,4419,30603
295,4339,30603
296,4383,30603
297,4389,30603
298,4258,30603
299,4240,30603
300,4271,30603
301,4389,30603
302,4686,30602
303,5043,30602
304,5192,30602
305,5249,30602
306,5271,30602
307,5323,30602
308,5340,30602
309,5361,30602
310,5342,30602
311,5149,30601
312,4917,30601
313,4898,30601
314,4924,30601
315,5522,30601
316,6094,30601
317,6465,30601
318,6728,30601
319,6734,30601
320,6908,30600
321,7005,30600
322,6869,30600
323,6824,30600
324,6623,30600
325,6223,30600
326,5658,30600
327,5492,30600
328,5549,30600
329,5294,30599
330,4992,30599
331,5192,30599
332,5449,30599
333,5500,30599
334,5719,30599
335,5999,30599
336,6365,30599
337,6538,30599
338,6396,30598
339,6283,30598
340,6410,30598
341,6413,30598
342,6621,30598
343,6567,30598
344,6624,30598
345,6610,30598
346,6398,30598
347,6132,30597
348,5667,30597
349,4906,30597
350,3937,30597
351,3067,30597
352,2384,30597
353,2126,30597
354,1959,30597
355,2419,30597
356,3372,30596
357,4709,30596
358,5613,30596
359,5684,30596
360,5868,30596
361,6516,30596
362,6484,30596
363,6368,30596
364,5958,30596
365,4489,30595
366,3888,30595
367,4103,30595
368,3546,30595
369,4154,30595
370,4012,30595
371,3863,30595
372,3635,30595
373,3123,30595
374,2547,30595
375,2427,30594
376,2340,30594
377,2014,30594
378,2090,30594
379,2077,30594
380,2057,30594
381,2008,30594
382,1978,30594
383,1998,30594
384,2868,30593
385,3492,30593
386,4534,30593
387,5813,30593
388,7185,30593
389,8127,30593
390,8574,30593
391,8658,30593
392,8370,30593
393,8193,30592
394,5645,30592
395,3571,30592
396,2593,30592
397,1788,30591
398,1810,30591
399,1922,30591
400,1997,30591
401,2124,30590
402,2108,30590
403,1591,30590
404,1681,30590
405,1233,30590
406,1328,30589
407,1288,30589
408,3922,30588
409,2598,30588
410,1988,30588
411,1062,30587
412,1687,30587
413,6240,30587
414,5437,30586
415,4671,30586
416,4749,30586
417,6248,30585
418,5241,30585
419,6256,30585
420,4610,30585
421,4909,30584
422,6396,30584
423,7004,30584
424,6353,30584
425,6571,30583
426,6163,30583
427,6657,30583
428,6437,30583
429,5538,30582
430,6037,30582
431,5504,30582
432,5860,30581
433,7548,30581
434,7425,30581
435,5902,30580
436,3710,30580
437,2680,30580
438,3217,30579
439,2684,30579
440,1286,30579
441,1724,30578
442,1606,30578
