,overpoints,to_end_seconds,interactions
0,1226,33605,1
1,1309,33605,1
2,1739,33605,1
3,1859,33605,1
4,2247,33605,1
5,2160,33604,1
6,2118,33604,1
7,1637,33604,1
8,1726,33604,1
9,1883,33604,1
10,1803,33604,1
11,1320,33603,1
12,2519,33603,1
13,2585,33603,1
14,2893,33603,1
15,2934,33603,1
16,2692,33602,1
17,2669,33602,1
18,2072,33602,1
19,1929,33600,1
20,2057,33600,1
21,3004,33599,1
22,3079,33599,1
23,3693,33599,1
24,3732,33599,1
25,3421,33599,1
26,3395,33599,1
27,3180,33598,1
28,3205,33598,1
29,3216,33598,1
30,3179,33598,1
31,3350,33597,1
32,3348,33597,1
33,3720,33597,1
34,3729,33597,1
35,3613,33597,1
36,3602,33597,1
37,3112,33596,1
38,3027,33596,1
39,2278,33596,1
40,2206,33596,1
41,1686,33595,1
42,1663,33595,1
43,1502,33595,1
44,1479,33595,1
45,1560,33595,1
46,1564,33595,1
47,1661,33594,1
48,1688,33594,1
49,1607,33594,1
50,1633,33594,1
51,2003,33593,1
52,2025,33593,1
53,2530,33593,1
54,2575,33593,1
55,3150,33593,1
56,3236,33593,1
57,3918,33592,1
58,3952,33592,1
59,4010,33592,1
60,4001,33592,1
61,3712,33592,1
62,3592,33591,1
63,3076,33591,1
64,3031,33591,1
65,2616,33591,1
66,2586,33591,1
67,2574,33590,1
68,2594,33590,1
69,2699,33590,1
70,2695,33590,1
71,2725,33590,1
72,2734,33590,1
73,2814,33589,1
74,2769,33589,1
75,2830,33589,1
76,2841,33589,1
77,2917,33588,1
78,2919,33588,1
79,2794,33588,1
80,2818,33588,1
81,2470,33588,1
82,2399,33588,1
83,1262,33587,1
84,1143,33587,1
85,1490,33587,1
86,1439,33587,1
87,1022,33586,1
88,1064,33586,1
89,1072,33586,1
90,1018,33586,1
91,1008,33586,1
92,1065,33584,1
93,1132,33584,1
94,1228,33584,1
95,1267,33584,1
96,1048,33583,1
97,1208,33581,1
98,1244,33581,1
113,1265,32170,1
114,1261,32170,1
115,1227,32168,1
116,1709,32168,1
118,1685,32165,2
119,1748,32165,2
120,1853,32165,2
121,1840,32165,2
122,1924,32164,2
123,1967,32164,2
124,2641,32164,2
125,2656,32164,2
126,2084,32163,2
127,2012,32163,2
128,2343,32163,2
129,2377,32163,2
130,2184,32163,2
131,2156,32163,2
132,2029,32162,2
133,2072,32162,2
134,2409,32162,2
135,2446,32162,2
136,2283,32162,2
137,2639,32161,2
138,2639,32161,2
143,1680,32160,1
144,1663,32160,1
145,1690,32160,1
146,1655,32160,1
147,1479,32160,1
148,1487,32160,1
149,1393,32160,1
150,1507,32160,1
151,1805,32159,1
152,1859,32159,1
153,1869,32159,1
154,1809,32159,1
155,1702,32159,1
156,1675,32159,1
157,1636,32159,1
158,1608,32159,1
159,1902,32158,1
160,1997,32158,1
161,1961,32158,1
162,1948,32158,1
163,1707,32158,1
164,1727,32158,1
165,1769,32158,1
166,1858,32158,1
167,2329,32158,1
168,2371,32157,1
169,2235,32157,1
170,2213,32157,1
171,2627,32157,1
172,2638,32157,1
173,2317,32157,1
174,2320,32157,1
175,2385,32157,1
176,2461,32156,1
177,3035,32156,1
178,2888,32156,1
179,1484,32156,1
180,1397,32156,1
181,1609,32156,1
182,1091,32155,1
183,1782,32153,1
184,1967,32153,1
185,2273,32153,1
186,2133,32153,1
187,1599,32153,1
188,1517,32153,1
189,1125,32153,1
190,1102,32153,1
191,1489,32152,1
192,1460,32152,1
193,1230,30850,1
194,1220,30850,1
195,1574,30850,1
196,1724,30850,1
197,1099,30850,1
198,1373,30850,1
199,1145,30849,1
200,1199,30849,1
201,1041,30849,1
202,1037,30848,1
203,1002,30847,1
204,1312,30846,1
205,1324,30846,1
206,1388,30846,1
207,1321,30846,1
208,1038,30846,1
209,1089,30845,1
210,1276,30845,1
212,1267,30799,1
213,1168,30797,1
214,1266,30794,1
215,1100,30794,1
216,1415,30793,1
217,1639,30793,1
225,2075,30792,3
226,1913,30792,3
227,1575,30792,3
228,1357,30792,3
229,2008,30792,3
230,3434,30792,3
231,4627,30792,3
232,5714,30792,3
233,6167,30792,3
234,6342,30791,3
235,6455,30791,3
236,6492,30791,3
237,6311,30791,3
238,6357,30791,3
239,6860,30791,3
240,7290,30791,3
241,7634,30791,3
242,7733,30791,3
243,7904,30790,3
244,8062,30790,3
245,7543,30790,3
246,7305,30790,3
247,6920,30790,3
248,6356,30790,3
249,5509,30790,3
250,4829,30790,3
251,3894,30790,3
252,3645,30789,3
253,3811,30789,3
260,3504,30788,1
261,3735,30788,1
281,1006,30605,1
282,1577,30605,1
284,3564,30604,2
285,4250,30604,2
286,4513,30604,2
287,4661,30604,2
288,4584,30604,2
289,4753,30604,2
290,4609,30604,2
291,4337,30604,2
292,4371,30604,2
293,4404,30603,2
294,4419,30603,2
311,5149,30601,3
312,4917,30601,3
313,4898,30601,3
314,4924,30601,3
315,5522,30601,3
316,6094,30601,3
317,6465,30601,3
318,6728,30601,3
319,6734,30601,3
320,6908,30600,3
321,7005,30600,3
322,6869,30600,3
323,6824,30600,3
324,6623,30600,3
325,6223,30600,3
326,5658,30600,3
327,5492,30600,3
328,5549,30600,3
329,5294,30599,3
330,4992,30599,3
331,5192,30599,3
332,5449,30599,3
333,5500,30599,3
334,5719,30599,3
335,5999,30599,3
336,6365,30599,3
337,6538,30599,3
338,6396,30598,3
339,6283,30598,3
347,6132,30597,2
348,5667,30597,2
349,4906,30597,2
350,3937,30597,2
351,3067,30597,2
352,2384,30597,2
353,2126,30597,2
354,1959,30597,2
355,2419,30597,2
356,3372,30596,2
357,4709,30596,2
358,5613,30596,2
359,5684,30596,2
360,5868,30596,2
361,6516,30596,2
362,6484,30596,2
363,6368,30596,2
364,5958,30596,2
365,4489,30595,2
366,3888,30595,2
367,4103,30595,2
368,3546,30595,2
369,4154,30595,2
370,4012,30595,2
371,3863,30595,2
372,3635,30595,2
373,3123,30595,2
374,2547,30595,2
375,2427,30594,2
376,2340,30594,2
377,2014,30594,2
378,2090,30594,2
379,2077,30594,2
380,2057,30594,2
381,2008,30594,2
382,1978,30594,2
383,1998,30594,2
384,2868,30593,2
385,3492,30593,2
386,4534,30593,2
387,5813,30593,2
388,7185,30593,2
389,8127,30593,2
390,8574,30593,2
391,8658,30593,2
392,8370,30593,2
393,8193,30592,2
394,5645,30592,2
397,1788,30591,1
398,1810,30591,1
399,1922,30591,1
400,1997,30591,1
401,2124,30590,1
402,2108,30590,1
403,1591,30590,1
404,1681,30590,1
405,1233,30590,1
406,1328,30589,1
407,1288,30589,1
408,3922,30588,1
409,2598,30588,1
410,1988,30588,1
411,1062,30587,1
412,1687,30587,1
414,5437,30586,2
415,4671,30586,2
416,4749,30586,2
417,6248,30585,2
418,5241,30585,2
419,6256,30585,2
420,4610,30585,2
421,4909,30584,2
422,6396,30584,2
423,7004,30584,2
424,6353,30584,2
425,6571,30583,2
426,6163,30583,2
427,6657,30583,2
428,6437,30583,2
429,5538,30582,2
430,6037,30582,2
431,5504,30582,2
432,5860,30581,2
433,7548,30581,2
434,7425,30581,2
435,5902,30580,2
436,3710,30580,2
437,2680,30580,2
438,3217,30579,2
439,2684,30579,2
440,1286,30579,2
441,1724,30578,2
442,1606,30578,2
443,1623,30578,2
444,1650,30577,2
445,1458,30577,2
446,1477,30577,2
447,1707,30577,2
448,1654,30576,2
449,1580,30576,2
450,1518,30576,2
451,4293,30575,2
452,5724,30575,2
453,5544,30575,2
454,5431,30574,2
455,6119,30574,2
456,5369,30574,2
457,5067,30574,2
458,4361,30573,2
459,3651,30573,2
460,3970,30573,2
461,4268,30572,2
462,3987,30572,2
463,4120,30572,2
464,4045,30571,2
465,3878,30571,2
466,3718,30571,2
467,3855,30570,2
468,3863,30570,2
469,5093,30569,2
470,7738,30569,2
471,8894,30569,2
472,9788,30568,2
473,7892,30568,2
474,7710,30568,2
475,7482,30567,2
476,6323,30567,2
477,4412,30566,2
478,4507,30566,2
479,3090,30566,2
480,3995,30565,2
481,6496,30565,2
482,9094,30565,2
483,8443,30564,2
484,8323,30564,2
485,8753,30563,4
486,9946,30563,4
487,12745,30563,4
488,14700,30562,4
489,15258,30562,4
490,14076,30562,4
491,13629,30561,4
492,13414,30561,4
493,11084,30561,4
494,9177,30560,4
495,9566,30560,4
496,12619,30560,4
497,11111,30559,4
498,14016,30559,4
500,9158,30558,2
501,6478,30558,2
503,1053,30556,1
504,1116,30556,1
505,1289,30555,1
506,1093,30555,1
507,1159,29789,1
508,1169,29789,1
509,1275,29789,1
510,1444,29789,1
511,1642,29789,1
512,1724,29789,1
513,1609,29788,1
514,1576,29788,1
515,1602,29788,1
516,1676,29788,1
517,1879,29788,1
518,1848,29788,1
519,1890,29788,1
520,1617,29788,1
521,1382,29788,1
522,1290,29787,1
523,1242,29787,1
531,1343,29786,2
532,1234,29786,2
533,1231,29786,2
534,1305,29786,2
535,1519,29786,2
536,1826,29786,2
537,2069,29786,2
538,2349,29786,2
539,2591,29786,2
540,2829,29786,2
541,2863,29785,2
542,2791,29785,2
543,2716,29785,2
544,2665,29785,2
545,2565,29785,2
546,2601,29785,2
547,2558,29785,2
548,2470,29785,2
549,2554,29785,2
550,2524,29784,2
551,2483,29784,2
552,2476,29784,2
553,2573,29784,2
554,2588,29784,2
555,2488,29784,2
556,2454,29784,2
557,3139,29784,2
558,3882,29784,2
559,3217,29783,2
560,2479,29783,2
561,1635,29783,2
562,1428,29783,2
563,1280,29783,2
564,1376,29783,2
565,1738,29783,2
566,1540,29783,2
567,1611,29782,2
568,1573,29782,2
569,1332,29782,2
570,1080,29782,2
571,1215,29781,2
572,1655,29781,2
573,1812,29781,2
574,1900,29781,2
575,1589,29781,2
576,1251,29781,2
577,1085,29781,2
578,1130,29781,2
579,1216,29780,2
580,1210,29780,2
581,1274,29780,2
