date,start_time,points_mean,mode,saturation
2017-04-26,09:00:00,1351,7,0.06958178821590441
2017-04-26,09:00:30,0,7,0.0
2017-04-26,09:01:00,0,1,0.0
2017-04-26,09:01:30,0,1,0.0
2017-04-26,09:02:00,0,2,0.0
2017-04-26,09:02:30,0,2,0.0
2017-04-26,09:03:00,0,3,0.0
2017-04-26,09:03:30,574,3,0.029563246806757315
2017-04-26,09:04:00,466,4,0.02400082406262876
2017-04-26,09:04:30,0,4,0.0
2017-04-26,09:05:00,0,5,0.0
2017-04-26,09:05:30,0,5,0.0
2017-04-26,09:06:00,0,6,0.0
2017-04-26,09:06:30,0,6,0.0
2017-04-26,09:07:00,0,7,0.0
2017-04-26,09:07:30,0,7,0.0
2017-04-26,09:08:00,0,1,0.0
2017-04-26,09:08:30,0,1,0.0
2017-04-26,09:09:00,0,2,0.0
2017-04-26,09:09:30,0,2,0.0
2017-04-26,09:10:00,0,3,0.0
2017-04-26,09:10:30,0,3,0.0
2017-04-26,09:11:00,0,4,0.0
2017-04-26,09:11:30,0,4,0.0
2017-04-26,09:12:00,0,5,0.0
2017-04-26,09:12:30,0,5,0.0
2017-04-26,09:13:00,0,6,0.0
2017-04-26,09:13:30,0,6,0.0
2017-04-26,09:14:00,0,7,0.0
2017-04-26,09:14:30,0,7,0.0
2017-04-26,09:15:00,0,1,0.0
2017-04-26,09:15:30,0,1,0.0
2017-04-26,09:16:00,0,2,0.0
2017-04-26,09:16:30,0,2,0.0
2017-04-26,09:17:00,0,3,0.0
2017-04-26,09:17:30,0,3,0.0
2017-04-26,09:18:00,0,4,0.0
2017-04-26,09:18:30,0,4,0.0
2017-04-26,09:19:00,0,5,0.0
2017-04-26,09:19:30,0,5,0.0
2017-04-26,09:20:00,0,6,0.0
2017-04-26,09:20:30,0,6,0.0
2017-04-26,09:21:00,0,7,0.0
2017-04-26,09:21:30,0,7,0.0
2017-04-26,09:22:00,0,1,0.0
2017-04-26,09:22:30,0,1,0.0
2017-04-26,09:23:00,0,2,0.0
2017-04-26,09:23:30,0,2,0.0
2017-04-26,09:24:00,0,3,0.0
2017-04-26,09:24:30,0,3,0.0
2017-04-26,09:25:00,0,4,0.0
2017-04-26,09:25:30,232,4,0.011948908117016894
2017-04-26,09:26:00,0,5,0.0
2017-04-26,09:26:30,1059,5,0.05454264524103832
2017-04-26,09:27:00,0,1,0.0
2017-04-26,09:27:30,0,1,0.0
2017-04-26,09:28:00,0,1,0.0
2017-04-26,09:28:30,0,1,0.0
2017-04-26,09:29:00,0,1,0.0
2017-04-26,09:29:30,712,1,0.036670786979810466
2017-04-26,09:30:00,4184,5,0.21549237742068397
2017-04-26,09:30:30,3786,5,0.1949938195302843
2017-04-26,09:31:00,0,5,0.0
2017-04-26,09:31:30,0,5,0.0
2017-04-26,09:32:00,0,5,0.0
2017-04-26,09:32:30,0,5,0.0
2017-04-26,09:33:00,0,5,0.0
2017-04-26,09:33:30,0,5,0.0
2017-04-26,09:34:00,0,5,0.0
2017-04-26,09:34:30,0,5,0.0
2017-04-26,09:35:00,0,5,0.0
2017-04-26,09:35:30,0,5,0.0
2017-04-26,09:36:00,0,6,0.0
2017-04-26,09:36:30,0,6,0.0
2017-04-26,09:37:00,0,7,0.0
2017-04-26,09:37:30,0,7,0.0
2017-04-26,09:38:00,0,1,0.0
2017-04-26,09:38:30,0,1,0.0
2017-04-26,09:39:00,0,2,0.0
2017-04-26,09:39:30,0,2,0.0
2017-04-26,09:40:00,0,3,0.0
2017-04-26,09:40:30,0,3,0.0
2017-04-26,09:41:00,0,4,0.0
2017-04-26,09:41:30,0,4,0.0
2017-04-26,09:42:00,0,5,0.0
2017-04-26,09:42:30,0,5,0.0
2017-04-26,09:43:00,0,6,0.0
2017-04-26,09:43:30,1821,1,0.09378862793572311
2017-04-26,09:44:00,0,6,0.0
2017-04-26,09:44:30,466,6,0.02400082406262876
